step	step_name	label	chars	words	runtime	input_name	output_file
5	NLMChem	s/NIHMS313098-supplement-4/tab_01	1198	147	5m 55s	NIHMS313098-supplement-4	06_nlmchem/s/NIHMS313098-supplement-4/tab_01/NIHMS313098-supplement-4.xml
5	NLMChem	s/NIHMS313098-supplement-7/tab_01	4823	550	0s	NIHMS313098-supplement-7	06_nlmchem/s/NIHMS313098-supplement-7/tab_01/NIHMS313098-supplement-7.xml
5	NLMChem	s/NIHMS313098-supplement-9/tab_01	7644	927	0s	NIHMS313098-supplement-9	06_nlmchem/s/NIHMS313098-supplement-9/tab_01/NIHMS313098-supplement-9.xml
6	TaggerOne	main	43489	4638	9s	nihms313098	07_taggerone/nihms313098.xml
6	TaggerOne	s/NIHMS313098-supplement-1	21716	3291	6s	NIHMS313098-supplement-1	07_taggerone/s/NIHMS313098-supplement-1/NIHMS313098-supplement-1.xml
6	TaggerOne	s/NIHMS313098-supplement-10/tab_01	1419	145	6s	NIHMS313098-supplement-10	07_taggerone/s/NIHMS313098-supplement-10/tab_01/NIHMS313098-supplement-10.xml
6	TaggerOne	s/NIHMS313098-supplement-2	19085	3038	6s	NIHMS313098-supplement-2	07_taggerone/s/NIHMS313098-supplement-2/NIHMS313098-supplement-2.xml
6	TaggerOne	s/NIHMS313098-supplement-3/tab_01	2407	291	6s	NIHMS313098-supplement-3	07_taggerone/s/NIHMS313098-supplement-3/tab_01/NIHMS313098-supplement-3.xml
6	TaggerOne	s/NIHMS313098-supplement-4/tab_01	1136	131	6s	NIHMS313098-supplement-4	07_taggerone/s/NIHMS313098-supplement-4/tab_01/NIHMS313098-supplement-4.xml
6	TaggerOne	s/NIHMS313098-supplement-7/tab_01	4761	534	14s	NIHMS313098-supplement-7	07_taggerone/s/NIHMS313098-supplement-7/tab_01/NIHMS313098-supplement-7.xml
6	TaggerOne	s/NIHMS313098-supplement-9/tab_01	7001	883	28s	NIHMS313098-supplement-9	07_taggerone/s/NIHMS313098-supplement-9/tab_01/NIHMS313098-supplement-9.xml
TOTAL	TOTAL	all	958400	94151	19m 54s		
