1 1 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 1 __nil__ __nil__ __nil__ __nil__ 1 __nil__ __nil__ __nil__ __nil__ O
, , , N:0 U:0 L:0 A:1 -SpecificC1- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:, P2:, P3:, P4:, , __nil__ __nil__ __nil__ __nil__ , __nil__ __nil__ __nil__ __nil__ O
2 2 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 2 __nil__ __nil__ __nil__ __nil__ 2 __nil__ __nil__ __nil__ __nil__ O
. . . N:0 U:0 L:0 A:1 -SpecificC1- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:. P2:. P3:. P4:. . __nil__ __nil__ __nil__ __nil__ . __nil__ __nil__ __nil__ __nil__ O
A a DT N:0 U:1 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ -DNASym- -ProteinSymChar- __nil__ P1:A P2:a P3:A P4:a A __nil__ __nil__ __nil__ __nil__ A __nil__ __nil__ __nil__ __nil__ O
cute cute JJ N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaa P2:aaaa P3:a P4:a c cu cut cute __nil__ e te ute cute __nil__ O
leukaemias leukaemia NNS N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaaa P2:aaaaaaaaaa P3:a P4:a l le leu leuk leuka s as ias mias emias O
driven driven JJ N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaa P2:aaaaaa P3:a P4:a d dr dri driv drive n en ven iven riven O
by by IN N:0 U:0 L:2 A:2 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aa P2:aa P3:a P4:a b by __nil__ __nil__ __nil__ y by __nil__ __nil__ __nil__ O
rearrangement rearrang NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaaaaaa P2:aaaaaaaaaaaaa P3:a P4:a r re rea rear rearr t nt ent ment ement O
of of IN N:0 U:0 L:2 A:2 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aa P2:aa P3:a P4:a o of __nil__ __nil__ __nil__ f of __nil__ __nil__ __nil__ O
the the DT N:0 U:0 L:3 A:3 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaa P2:aaa P3:a P4:a t th the __nil__ __nil__ e he the __nil__ __nil__ O
mixed mix VBN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaa P2:aaaaa P3:a P4:a m mi mix mixe mixed d ed xed ixed mixed O
lineage lineag NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaa P2:aaaaaaa P3:a P4:a l li lin line linea e ge age eage neage O
leukaemia leukaemia NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaa P2:aaaaaaaaa P3:a P4:a l le leu leuk leuka a ia mia emia aemia O
1 1 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 1 __nil__ __nil__ __nil__ __nil__ 1 __nil__ __nil__ __nil__ __nil__ O
gene gene NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaa P2:aaaa P3:a P4:a g ge gen gene __nil__ e ne ene gene __nil__ O
( ( ( N:0 U:0 L:0 A:1 -SpecificC2- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:( P2:( P3:( P4:( ( __nil__ __nil__ __nil__ __nil__ ( __nil__ __nil__ __nil__ __nil__ O
